ID	Drinking Category	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10210	LD	Rhesus	M	6.163028673							14.75	1.27							2782.829094	59.65548886							3.838897745		61.61075768	0		498.5918199		12.89073973					15.03048742				0	12.89073973
10211	BD	Rhesus	M	5.018583544							45.58	2.2							1728.381768	140.6136453							4.726683748		55.09136528	0		551.2882695		26.45123841					20.2247309				0	26.45123841
10212	VHD	Rhesus	M	5.037748893							45.66	1.51							2156.299282	81.14795967							4.375530419		48.57197288	0		628.3962426		20.14459207					13.04869725				0	20.14459207
10213	LD	Rhesus	M	4.742054936							39.8	1.11							1870.59092	52.64120898							4.019571782		41.31355296	0		551.2882695		44.46776987					6.340446415				0	44.46776987
10214	VHD	Rhesus	M	5.037748893							39.04	1.93							5453.662104	137.4629266							4.375530419		79.38234649	0		703.8481008		81.42238907					18.58403933				0	81.42238907
10215	VHD	Rhesus	M	5.076079591							26.34	1.49							4035.81147	128.7308674							5.586043134		73.69070592	0		653.8066441		14.82217269					18.58403933				0	14.82217269
10225	HD	Cyno	M	6.724299609							23.15	1.95																																
10226	HD	Cyno	M	6.527170305							30.19	1.61																																
10227	VHD	Cyno	M	6.603831701							34.76	1.65																																
10228	HD	Cyno	M	6.592880073							18.56	1.32																																
10229	HD	Cyno	M	6.790009377							35.25	2.08																																
10230	HD	Cyno	M	6.685968911							23.42	1.38																																
10231	LD	Cyno	M	6.497053328							20.33	1.28																																
10235	HD	Cyno	M	6.620259143							23.13	1.67																																
10236	HD	Cyno	M	6.557287282							4.91	1.73																																
10242	VHD	Rhesus	M	5.193809592															2278.033396	237.9594565							3.518542633		94.00566273	0		806.185917		18.10845482					34.99366283				0	18.10845482
10243	LD	Rhesus	M	5.437483316															3897.247351	221.02921							3.966920403		94.00566273	0		1736.683494		36.2405919					37.57114363				0	36.2405919
10244	VHD	Rhesus	M	5.327967036															4143.048596	401.4089539							9.414071191		127.7744537	0		806.185917		36.2405919					29.56079679				0	36.2405919
10246	LD	Rhesus	M	5.174644243															2005.488222	399.9528717							7.591752979		127.5919995	0		1027.486786		75.1892254					28.14943432				0	75.1892254
10247	VHD	Rhesus	M	5.251305639															4296.149362	363.2550169							7.404368239		114.1991006	0		748.3809762		33.74286569					42.50487721				0	33.74286569
10248	VHD	Rhesus	M	5.390938897															2438.544585	211.2246731							5.020209934		99.87762611	0		597.8454468		61.47537851					28.14943432				0	61.47537851
10249	VHD	Rhesus	M	5.284160523															9404.961672	175.9385963							3.857319005		111.363111	0		1236.455822		55.0768718					30.91697752				0	55.0768718
10252	VHD	Rhesus	M	5.264995174															2556.896505	336.2354683							6.826923756		99.87762611	0		502.7822344		57.51628261					30.97215925				0	57.51628261
