ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Deoxycorticosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10055	LD	Rhesus	M	8.424539861							1.459896209	6.957902982	22.89571345	1.361664479	0.850876516	181.4378606	1200.545193	141.2241238	5.385416199	12.53190869	0.504976008	17.26072941	144.789051	5.251113368	2.989536207	0.112137907	27.97787297	0.628194287	7.882541054	285.3588375	41.80126154	29.96260396	1477.274061	4.933488999	17	3.354579177	20.2807572	2.126399592	0.89	17	0.628194287	
10058	LD	Rhesus	M	7.176054265																																						
10066	VHD	Rhesus	M	5.774245878							1.305867728	0.948203574	4.569552655	0.762034747	0.832740817	126.2114587	1023.729635	71.9732296	2.248312518	8.890793669	0.512090621	19.22916846	125.3884287	1.8	0.29	0.202759612	17.48282235	0.059	8.066840277	818.6050277	20.66521184	44.35284242	223.5624247	8.086504603	17	2.972696317	134.484737	2.128455561	0.29	17	0.059	
10067	HD	Rhesus	M	5.812576576																																						
10072	LD	Rhesus	F	5.834479832																																						
10073	VHD	Rhesus	F	5.629136806							0.55	4.517285469	10.8133608	1.60776342	0.4244679	443.0898647	1711.745578	172.410279	7.844592625	8.330090669	0.353452572	56.34565106	120.2763334	6.138591477	2.6	0.059061903	41.77928287	0.106947194	10.05014425	370.8788606	41.11495664	20.39904906	1760.790165	16.80788927	104.6112272	1.306259837	21.88766027	1.212745431	0.2	104.6112272	0.106947194	
10074	LD	Rhesus	F	5.585330294							4.116085343	3.67001147	10.7598152	1.074307013	1.614717188	183.4004621	3094.074151	107.2192025	5.794075099	11.26857273	0.592986074	30.9557069	89.9940695	5.021233472	0.88	0.147261415	25.69880768	0.418740877	11.39229515	1410.044178	48.13151101	22.316091	2211.828011	13.55445598	81.53841322	5.712146135	43.23767555	2.132595959	0.29	81.53841322	0.418740877	
10075	HD	Rhesus	F	5.834479832							3.693139653	5.375640137	5.5	1.494311454	0.60381734	142.5522185	188.3686065	251.9799315	4.601235861	5.946351349	0.427228492	60.91676192	100.6561923	10.66536821	2.6	0.059061903	8.814468398	0.383563563	10.89598101	506.6707125	33.9093515	14.3839009	347.90824	7.976010385	17	2.569441119	4.8	2.7	0.2	17	0.383563563	
10077	LD	Rhesus	F	6.042560764							12.05919126	5.211757566	17.29811079	1.721215386	1.224573529	147.0042915	2780.364941	167.2483077	35.16446918	15.0189754	0.427228492	6.571462616	84.44755323	8.69674004	2.6	0.412350168	54.02740923	0.648563441	10.05014425	444.3159964	230.9844779	301.389432	2454.582356	18.93261011	80.38862094	2.145244443	4.8	2.408286635	16.55170048	80.38862094	0.648563441	
10089	LD	Rhesus	M	4.648966098							3.060038638	5.188407377	21.94328717	0.982193873	1.30723975	154.1950328	2194.565835	118.8336879	6.267957551	13.88780656	0.244565721	33.09407637	261.2692644	6.157718379	0.88	0.056415724	49.10159104	0.517179629	9.797932309	354.0077544	60.50197467	13.82891499	2385.421308	17.11545432	33.00618065	2.757849232	34.89446504	1.384944987	0.29	33.00618065	0.517179629	
10098	VHD	Rhesus	M	3.986392602							0.18	3.418148787	19.99995532	0.982193873	0.627550281	247.510145	286.1581109	136.6240683	3.401626335	6.813628972	0.210334315	7.378409635	196.2696037	3.228825488	0.88	0.056415724	18.64885001	0.414074903	4.523249803	1078.422122	35.07953744	12.06626685	500.1067791	5.946861061	33.00618065	1.866693832	21.15695448	2.7	0.29	33.00618065	0.414074903	
10215	VHD	Rhesus	M	5.076079591													8049.407162	163.0733914							2.02913558		75.00858987	0		718.8605834		57.54105813					22.07553833				0	57.54105813
